"Monthly-mean 2-d atmosphere or land surface data (longitude, latitude, time:month)",,,,,,,,,
,,,,,,,,,
CF standard name,Long_name,Output variable name,Units,Scalar dims,Cell Method,Positive Flux Dir.,Min Value,Max Value,Notes
surface_air_pressure,Surface Air Pressure,ps,Pa,NA,time: mean,NA,0.0,1000000.0,"surface pressure (not mean sea-level pressure), 2-D field to calculate the 3-D pressure field from hybrid coordinates"
cloud_area_fraction,Total Cloud Fraction,clt,1,NA,time: mean,NA,0.0,1.0,cloud area fraction
convective_cloud_area_fraction,Convective Cloud Area Fraction,convclt,1,NA,time: mean,NA,0.0,1.0,Convective cloud fraction
tropopause_air_pressure,Tropopause Air Pressure,ptp,Pa,NA,time: mean,NA,0.0,100000.0,2D monthly mean thermal tropopause calculated using WMO tropopause definition on 3d temperature
tropopause_air_temperature,Tropopause Air Temperature,tatp,K,NA,time: mean,NA,0.0,400.0,2D monthly mean thermal tropopause calculated using WMO tropopause definition on 3d temperature
tropopause_altitude,Tropopause Altitude,ztp,m,NA,time: mean,NA,0.0,40000.0,2D monthly mean thermal tropopause calculated using WMO tropopause definition on 3d temperature
precipitation_flux,Precipitation,pr,kg m-2 s-1,NA,time: mean,down,0.0,10000.0,includes both liquid and solid phases
surface_upward_latent_heat_flux,Surface Upward Latent Heat Flux,hfls,W m-2,NA,time: mean,up,-100000.0,100000.0,
surface_upward_sensible_heat_flux,Surface Upward Sensible Heat Flux,hfss,W m-2,NA,time: mean,up,-100000.0,100000.0,
equivalent_thickness_at_stp_of_atmosphere_ozone_content,Total Ozone Column,toz,DU,NA,time: mean,NA,0.0,5000.0,total ozone column in DU
CF25_FAIL equivalent_thickness_at_stp_of_troposphere_ozone_content,Tropospheric Ozone Column,tropoz,DU,NA,time: mean,NA,0.0,500.0,
sea_surface_temperature,Sea Surface Temperature,tos,K,NA,time: mean,NA,0.0,500.0,this may differ from 'surface temperature' in regions of sea ice.
sea_ice_area_fraction,Sea Ice Area Fraction,sic,%,NA,time: mean,NA,0.0,101.0,fraction of grid cell covered by sea ice.
atmosphere_optical_thickness_due_to_ambient_aerosol,Ambient Aerosol Optical Thickness at 440 nm,od440aer,1,wv440nm,time: mean,NA,0.0,500.0,"AOD from the ambient aerosols (i.e., includes aerosol water).  Does not include AOD from stratospheric aerosols if these are prescribed but includes other possible background aerosol types. Needs a comment attribute 'wavelength: 440 nm'."
atmosphere_optical_thickness_due_to_ambient_aerosol,Ambient Aerosol Optical Thickness at 550 nm,od550aer,1,wv550nm,time: mean,NA,0.0,500.0,"AOD from the ambient aerosols (i.e., includes aerosol water).  Does not include AOD from stratospheric aerosols if these are prescribed but includes other possible background aerosol types. Needs a comment attribute 'wavelength: 550 nm'."
atmosphere_optical_thickness_due_to_ambient_aerosol,Ambient Aerosol Optical Thickness at 870 nm,od870aer,1,wv870nm,time: mean,NA,0.0,500.0,"AOD from the ambient aerosols (i.e., includes aerosol water).  Does not include AOD from stratospheric aerosols if these are prescribed but includes other possible background aerosol types.  Needs a comment attribute 'wavelength: 870 nm'."
atmosphere_optical_thickness_due_to_pm1_ambient_aerosol,Ambient Fine Aerosol Optical Thickness at 550 nm,od550lt1aer,1,wv550nm,time: mean,NA,0.0,500.0,"od550 due to particles with wet diameter less than 1 um  ('ambient' means 'wetted'). When models do not include explicit size information, it can be assumed that all anthropogenic aerosols and natural secondary aerosols have diameter less than 1 um."
atmosphere_absorption_optical_thickness_due_to_ambient_aerosol,Ambient Aerosol Absorption Optical Thickness at 550 nm,abs550aer,1,wv550nm,time: mean,NA,0.0,500.0,
tendency_of_atmosphere_mass_content_of_particulate_organic_matter_dry_aerosol_due_to_net_chemical_production_and_emission,Rate of Emission and Production of Dry Aerosol Total Organic Matter,emioa,kg m-2 s-1,NA,time: mean,NA,0.0,1000000.0,"Tendency of atmosphere mass content of organic matter dry aerosol due to net production and emission.  This is the sum of total emission of POA and total production of SOA (emipoa+chepsoa). 'Mass' refers to the mass of organic matter, not mass of organic carbon alone. We recommend a scale factor of POM=1.4*OC, unless your model has more detailed info available. Was called emi_pom in old ACCMIP Excel table. Integrate 3D emission field vertically to 2d field."
CF25_FAIL tendency_of_atmosphere_mass_content_of_anthropogenic_particulate_organic_matter_dry_aerosol_due_to_net_chemical_production_and_emission,Anthropogenic Emission Rate of Dry Aerosol Total Organic Matter,emiaoa,kg m-2 s-1,NA,time: mean,up,0.0,1000000.0,"Includes agricultural waste burning but no other biomass burning. We recommend a scale factor of POM=1.4*OC, unless your model has more detailed info available. Tendency of atmosphere mass content of total organic aerosol due to emission: 'mass' refers to the mass of organic matter, not mass of organic carbon alone. Was called emi_apom in old ACCMIP Excel table.  Integrate 3D emission field vertically to 2d field."
tendency_of_atmosphere_mass_content_of_secondary_particulate_organic_matter_dry_aerosol_due_to_net_chemical_production,Production Rate of Dry Aerosol Secondary Organic Matter,chepsoa,kg m-2 s-1,NA,time: mean,NA,0.0,1000000.0,"Tendency of atmosphere mass content of secondary organic matter_dry aerosol due to net production:  If model lumps SOA emissions with POA, then the sum of POA and SOA emissions is reported as POA emissions. 'mass' refers to the mass of primary organic matter, not mass of organic carbon alone. Instead of emi_soa in original ACCMIP Excel spreadsheet. That variable had notes: This can be a pseudo-emission flux as used in AEROCOM (Dentener et al, ACP, 2006) or the net."
CF25_FAIL tendency_of_atmosphere_mass_content_of_anthropogenic_secondary_particulate_organic_matter_dry_aerosol_due_to_net_chemical_production,Production Rate of Anthropogenic Dry Aerosol Secondary Organic Matter,chepasoa,kg m-2 s-1,NA,time: mean,NA,0.0,1000000.0,"If model lumps SOA emissions with POA, then the sum of POA and SOA emissions is reported as POA emissions.  'mass' refers to the mass of primary organic matter, not mass of organic carbon alone. proposed name: tendency_of_atmosphere_mass_content_of_anthropogenic_secondary_particulate_organic_matter_dry_aerosol_due_to_net_chemical_production.  Used instead of emi_asoa in original ACCMIP Excel spreadsheet. That variable had notes: This can be a pseudo-emission flux as used in AEROCOM (Dentener et al, ACP, 2006) or the net."
tendency_of_atmosphere_mass_content_of_black_carbon_dry_aerosol_due_to_emission,Emission Rate of Black Carbon Aerosol Mass,emibc,kg m-2 s-1,NA,time: mean,up,0.0,1000000.0,Integrate 3D emission field vertically to 2d field.
CF25_FAIL tendency_of_atmosphere_mass_content_of_anthropogenic_black_carbon_dry_aerosol_due_to_emission,Anthropogenic Emission Rate of Black Carbon Aerosol Mass,emiabc,kg m-2 s-1,NA,time: mean,up,0.0,1000000.0,Includes agricultural waste burning but no other biomass burning. proposed name: tendency_of_atmosphere_mass_content_of_anthropogenic_black_carbon_dry_aerosol_due_to_emission. Integrate 3D emission field vertically to 2d field.
tendency_of_atmosphere_mass_content_of_particulate_organic_matter_dry_aerosol_due_to_dry_deposition,Dry Deposition Rate of Dry Aerosol Organic Matter,dryoa,kg m-2 s-1,NA,time: mean,down,0.0,1000000.0,"This is the sum of dry deposition of POA and dry deposition of SOA (see next two entries). 'Mass' refers to the mass of organic matter, not mass of organic carbon alone. We recommend a scale factor of POM=1.4*OC, unless your model has more detailed info available. Was called dry_pom in old ACCMIP Excel table. Dry deposition includes gravitational settling, impact scavenging, and turbulent deposition."
tendency_of_atmosphere_mass_content_of_black_carbon_dry_aerosol_due_to_dry_deposition,Dry Deposition Rate of Black Carbon Aerosol Mass,drybc,kg m-2 s-1,NA,time: mean,down,0.0,1000000.0,"Dry deposition includes gravitational settling, impact scavenging, and turbulent deposition. "
tendency_of_atmosphere_mass_content_of_particulate_organic_matter_dry_aerosol_due_to_wet_deposition,Wet Deposition Rate of Dry Aerosol Organic Matter,wetoa,kg m-2 s-1,NA,time: mean,down,0.0,1000000.0,"This is the sum of wet deposition of POA and wet deposition of SOA (see next two entries). 'Mass' refers to the mass of organic matter, not mass of organic carbon alone. We recommend a scale factor of POM=1.4*OC, unless your model has more detailed info available. Was called wet_pom in old ACCMIP Excel spreadsheet."
tendency_of_atmosphere_mass_content_of_black_carbon_dry_aerosol_due_to_wet_deposition,Wet Deposition Rate of Black Carbon Aerosol Mass,wetbc,kg m-2 s-1,NA,time: mean,down,0.0,1000000.0,
tendency_of_atmosphere_mass_content_of_sulfur_dioxide_due_to_emission,Total Emission Rate of SO2,emiso2,kg m-2 s-1,NA,time: mean,up,0.0,1000000.0,Integrate 3D emission field vertically to 2d field.
CF25_FAIL tendency_of_atmosphere_mass_content_of_anthropogenic_sulfur_dioxide_due_to_emission,Anthropogenic Emission Rate of SO2,emiaso2,kg m-2 s-1,NA,time: mean,up,0.0,1000000.0,Includes agricultural waste burning but no other biomass burning. proposed name: tendency_of_atmosphere_mass_content_of_anthropogenic_sulfur_dioxide_due_to_emission. Integrate 3D emission field vertically to 2d field.
tendency_of_atmosphere_mass_content_of_sulfate_dry_aerosol_due_to_emission,Total Direct Emission Rate of SO4,emiso4,kg m-2 s-1,NA,time: mean,up,0.0,1000000.0,expressed as a tendency of atmosphere mass content of SO4.  Direct emission does not include secondary sulfate production. Integrate 3D emission field vertically to 2d field.
CF25_FAIL tendency_of_atmosphere_mass_content_of_anthropogenic_sulfate_dry_aerosol_due_to_emission,Anthropogenic Direct Emission Rate of SO4,emiaso4,kg m-2 s-1,NA,time: mean,up,0.0,1000000.0,Includes agricultural waste burning but no other biomass burning. Expressed as a tendency of atmosphere mass content of SO4.  Direct emission does not include secondary sulfate production.  proposed name: tendency_of_atmosphere_mass_content_of_anthropogenic_sulfate_dry_aerosol_due_to_emission. Integrate 3D emission field vertically to 2d field.
tendency_of_atmosphere_mass_content_of_dimethyl_sulfide_due_to_emission,Total Emission Rate of DMS,emidms,kg m-2 s-1,NA,time: mean,up,0.0,1000000.0,Integrate 3D emission field vertically to 2d field.
tendency_of_atmosphere_mass_content_of_sulfur_dioxide_due_to_dry_deposition,Dry Deposition Rate of SO2,dryso2,kg m-2 s-1,NA,time: mean,down,0.0,1000000.0,"dry deposition includes gravitational settling, impact scavenging, and turbulent deposition"
tendency_of_atmosphere_mass_content_of_sulfate_dry_aerosol_due_to_dry_deposition,Dry Deposition Rate of SO4,dryso4,kg m-2 s-1,NA,time: mean,down,0.0,1000000.0,"dry deposition includes gravitational settling, impact scavenging, and turbulent deposition"
tendency_of_atmosphere_mass_content_of_dimethyl_sulfide_due_to_dry_deposition,Dry Deposition Rate of DMS,drydms,kg m-2 s-1,NA,time: mean,down,0.0,1000000.0,"dry deposition includes gravitational settling, impact scavenging, and turbulent deposition"
CF25_FAIL tendency_of_atmosphere_mass_content_of_sulfate_dry_aerosol_due_to_wet_deposition,Wet Deposition Rate of SO4,wetso4,kg m-2 s-1,NA,time: mean,down,0.0,1000000.0,proposed name: tendency_of_atmosphere_mass_content_of_sulfate_dry_aerosol_due_to_wet_deposition
tendency_of_atmosphere_mass_content_of_sulfur_dioxide_due_to_wet_deposition,Wet Deposition Rate of SO2,wetso2,kg m-2 s-1,NA,time: mean,down,0.0,1000000.0,
tendency_of_atmosphere_mass_content_of_dimethyl_sulfide_due_to_wet_deposition,Wet Deposition Rate of DMS,wetdms,kg m-2 s-1,NA,time: mean,down,0.0,1000000.0,
tendency_of_atmosphere_mass_content_of_ammonia_due_to_emission,Total Emission Rate of NH3,eminh3,kg m-2 s-1,NA,time: mean,up,0.0,1000000.0,Integrate 3D emission field vertically to 2d field.
CF25_FAIL tendency_of_atmosphere_mass_content_of_anthropogenic_ammonia_due_to_emission,Anthropogenic Emission Rate of NH3,emianh3,kg m-2 s-1,NA,time: mean,up,0.0,1000000.0,Includes agricultural waste burning but no other biomass burning. proposed name: tendency_of_atmosphere_mass_content_of_anthropogenic_ammonia_due_to_emission. Integrate 3D emission field vertically to 2d field.
tendency_of_atmosphere_mass_content_of_ammonia_due_to_dry_deposition,Dry Deposition Rate of NH3,drynh3,kg m-2 s-1,NA,time: mean,down,0.0,1000000.0,"dry deposition includes gravitational settling, impact scavenging, and turbulent deposition"
tendency_of_atmosphere_mass_content_of_ammonium_dry_aerosol_due_to_dry_deposition,Dry Deposition Rate of NH4,drynh4,kg m-2 s-1,NA,time: mean,down,0.0,1000000.0,"dry deposition includes gravitational settling, impact scavenging, and turbulent deposition"
tendency_of_atmosphere_mass_content_of_ammonium_dry_aerosol_due_to_wet_deposition,Wet Deposition Rate of NH4,wetnh4,kg m-2 s-1,NA,time: mean,down,0.0,1000000.0,
tendency_of_atmosphere_mass_content_of_seasalt_dry_aerosol_due_to_emission,Total Emission Rate of Seasalt,emiss,kg m-2 s-1,NA,time: mean,up,0.0,1000000.0,Integrate 3D emission field vertically to 2d field.
tendency_of_atmosphere_mass_content_of_seasalt_dry_aerosol_due_to_dry_deposition,Dry Deposition Rate of Seasalt,dryss,kg m-2 s-1,NA,time: mean,down,0.0,1000000.0,"Dry deposition includes gravitational settling, impact scavenging, and turbulent deposition."
tendency_of_atmosphere_mass_content_of_seasalt_dry_aerosol_due_to_wet_deposition,Wet Deposition Rate of Seasalt,wetss,kg m-2 s-1,NA,time: mean,down,0.0,1000000.0,
tendency_of_atmosphere_mass_content_of_dust_dry_aerosol_due_to_emission,Total Emission Rate of Dust,emidust,kg m-2 s-1,NA,time: mean,up,0.0,1000000.0,Integrate 3D emission field vertically to 2d field.
tendency_of_atmosphere_mass_content_of_dust_dry_aerosol_due_to_dry_deposition,Dry Deposition Rate of Dust,drydust,kg m-2 s-1,NA,time: mean,down,0.0,1000000.0,"Dry deposition includes gravitational settling, impact scavenging, and turbulent deposition."
tendency_of_atmosphere_mass_content_of_dust_dry_aerosol_due_to_wet_deposition,Wet Deposition Rate of Dust,wetdust,kg m-2 s-1,NA,time: mean,down,0.0,1000000.0,
effective_radius_of_cloud_liquid_water_particle_at_liquid_water_cloud_top,Cloud-Top Effective Droplet Radius,reffclwtop,m,NA,time: mean,NA,0.0,1.0,"Droplets are liquid only.  This is the effective radius 'as seen from space' over liquid cloudy portion of grid cell. This is the value from the uppermost model layer with liquid cloud or, if available, or for some models it is the sum over all liquid cloud tops, no matter where they occur, as long as they are seen from the top of the atmosphere.  Reported values are weighted by total liquid cloud top fraction (as seen from TOA) of each time sample when computing monthly mean."
CF25_FAIL effective_radius_of_cloud_ice_particle_at_ice_cloud_top,Ice Cloud-Top Effective Crystal Radius,reffclitop,m,NA,time: mean,NA,0.0,1.0,"This is the value from uppermost model layer with ice cloud or, if available, or for some models it is the sum over all ice cloud tops, no matter where they occur, as long as they are seen from the top of the atmosphere.  Reported values are weighted by total cwiceliquid cloud top fraction of  (as seen from TOA) each time sample when computing monthly mean. proposed name: effective_radius_of_cloud_crystal_at_ice_cloud_top"
tendency_of_atmosphere_mass_content_of_ozone_due_to_dry_deposition,Dry Deposition Rate of O3,dryo3,kg m-2 s-1,NA,time: mean,down,0.0,1000000.0,"dry deposition includes gravitational settling, impact scavenging, and turbulent deposition."
tendency_of_atmosphere_mass_content_of_ozone_due_to_dry_deposition_into_stomata,Dry Deposition Rate of O3 in Stomata,stoo3,kg m-2 s-1,NA,time: mean,down,0.0,1000000.0,"(dry deposition includes gravitational settling, impact scavenging, and turbulent deposition)."
tendency_of_atmosphere_mass_content_of_ammonia_due_to_wet_deposition,Wet Deposition Rate of NH3,wetnh3,kg m-2 s-1,NA,time: mean,down,0.0,1000000.0,
tendency_of_atmosphere_mass_content_of_carbon_monoxide_due_to_emission,Total Emission Rate of CO,emico,kg m-2 s-1,NA,time: mean,up,0.0,1000000.0,Integrate 3D emission field vertically to 2d field.
CF25_FAIL tendency_of_atmosphere_mass_content_of_non_methane_volatile_organic_compounds_as_carbon_due_to_emission,Total Emission Rate of NMVOC,emivoc,kg m-2 s-1,NA,time: mean,up,0.0,1000000.0,"Integrate 3D emission field vertically to 2d field.  _If_ fixed molecular weight of NMVOC is not available in model, please provide in units of kilomole m-2 s-1 (i.e. kg m-2 s-1 as if model NMVOC had molecular weight of 1) and add a comment to your file."
CF25_FAIL tendency_of_atmosphere_mass_content_of_non_methane_volatile_organic_compounds_expressed_as_carbon_due_to_emission_from_vegetation,Total Emission Rate of Biogenic NMVOC,emibvoc,kg m-2 s-1,NA,time: mean,up,0.0,1000000.0,"Integrate 3D emission field vertically to 2d field.  _If_ fixed molecular weight of NMVOC is not available in model, please provide in units of kilomole m-2 s-1 (i.e. kg m-2 s-1 as if model NMVOC had molecular weight of 1) and add a comment to your file."
CF25_FAIL tendency_of_atmosphere_mass_content_of_isoprene_due_to_emission_from_vegetation,Total Emission Rate of Biogenic Isoprene,emibisop,kg m-2 s-1,NA,time: mean,up,0.0,1000000.0,
CF25_FAIL tendency_of_atmosphere_mass_content_of_anthropogenic_non_methane_volatile_organic_compounds_as_carbon_due_to_emission,Total Emission Rate of Anthropogenic NMVOC,emiavoc,kg m-2 s-1,NA,time: mean,up,0.0,1000000.0,"Includes agricultural waste burning but no other biomass burning.  Integrate 3D emission field vertically to 2d field.  _If_ fixed molecular weight of NMVOC is not available in model, please provide in units of kilomole m-2 s-1 (i.e. kg m-2 s-1 as if model NMVOC had molecular weight of 1) and add a comment to your file."
CF25_FAIL tendency_of_atmosphere_mass_content_of_anthropogenic_carbon_monoxide_due_to_emission,Total Emission Rate of Anthropogenic CO,emiaco,kg m-2 s-1,NA,time: mean,up,0.0,1000000.0,Includes agricultural waste burning but no other biomass burning. proposed name: tendency_of_atmosphere_mass_content_of_anthropogenic_carbon_monoxide_due_to_emission. Integrate 3D emission field vertically to 2d field.
CF25_FAIL atmosphere_aerosol_asymmetry_parameter ,Asymmetry Parameter,asyaer,1,NA,time: mean,NA,0.0,1000.0,
