"Monthly-mean 2-d atmosphere or land surface data (longitude, latitude, time:month)",,,,,,,,,
angstrom_exponent_of_ambient_aerosol_in_air,Angstrom Exponent 440/870nm,ang4487aer,1,NA,time: mean,NA,0.0,1000.0,general standard name is angstrom_exponent_of_ambient_aerosol_in_air
angstrom_exponent_of_ambient_aerosol_in_air,Angstrom Exponent 440/670nm,ang4467aer,1,NA,time: mean,NA,0.0,1000.0,general standard name is angstrom_exponent_of_ambient_aerosol_in_air
angstrom_exponent_of_ambient_aerosol_in_air,Angstrom Exponent 500/870nm,ang5087aer,1,NA,time: mean,NA,0.0,1000.0,general standard name is angstrom_exponent_of_ambient_aerosol_in_air
CF25_FAIL atmosphere_optical_thickness_due_to_sulfate_ambient_aerosol,Sulfate AOD at 550nm,od550so4,1,wv550nm,time: mean,NA,0.0,1000.0,proposed name: atmosphere_optical_thickness_due_to_sulfate_ambient_aerosol
atmosphere_optical_thickness_due_to_black_carbon_ambient_aerosol,Black Carbon AOD at 550nm,od550bc,1,wv550nm,time: mean,NA,0.0,1000.0,
atmosphere_optical_thickness_due_to_particulate_organic_matter_ambient_aerosol,POM AOD at 550nm,od550oa,1,wv550nm,time: mean,NA,0.0,1000.0,
CF25_FAIL atmosphere_optical_thickness_due_to_secondary_particulate_organic_matter_ambient_aerosol,SOA AOD at 550nm,od550soa,1,wv550nm,time: mean,NA,0.0,1000.0,proposed name: atmosphere_optical_thickness_due_to_secondary_particulate_organic_matter_ambient_aerosol
CF25_FAIL atmosphere_optical_thickness_due_to_biomass_burning_ambient_aerosol,BB AOD at 550nm,od550bb,1,wv550nm,time: mean,NA,0.0,1000.0,proposed name: atmosphere_optical_thickness_due_to_biomass_burning_ambient_aerosol
CF25_FAIL atmosphere_optical_thickness_due_to_nitrate_ambient_aerosol,Nitrate AOD at 550nm,od550no3,1,wv550nm,time: mean,NA,0.0,1000.0,proposed name: atmosphere_optical_thickness_due_to_nitrate_ambient_aerosol
atmosphere_optical_thickness_due_to_seasalt_ambient_aerosol,Seasalt AOD at 550nm,od550ss,1,wv550nm,time: mean,NA,0.0,1000.0,
atmosphere_optical_thickness_due_to_dust_ambient_aerosol,Dust AOD at 550nm,od550dust,1,wv550nm,time: mean,NA,0.0,1000.0,
atmosphere_optical_thickness_due_to_water_in_ambient_aerosol,Aerosol Water AOD at 550nm,od550aerh2o,1,wv550nm,time: mean,NA,0.0,1000.0,proposed name: atmosphere_optical_thickness_due_to_water_ambient_aerosol
CF25_FAIL aerosol_growth_factor_at_90_percent_relative_humidity,Aerosol Growth Factor at 90 Percent RH,gf90aer,1,NA,time: mean,NA,0.0,1000.0,proposed name: aerosol_growth_factor_at_90_percent_relative_humidity
CF25_FAIL toa_instantaneous_longwave_forcing_due_to_clouds_with_reference_composition,Clouds TOA LW-RF With Reference Composition,lwclrefc,W m-2,NA,time: mean,NA,-1000.0,100000.0,proposed name: toa_instantaneous_longwave_forcing_due_to_clouds_with_reference_composition
CF25_FAIL toa_instantaneous_shortwave_forcing_due_to_clouds_with_reference_composition,Clouds TOA SW-RF With Reference Composition,swclrefc,W m-2,NA,time: mean,NA,-1000.0,100000.0,proposed name: toa_instantaneous_shortwave_forcing_due_to_clouds_with_reference_composition
CF25_FAIL liquid_water_cloud_area_fraction,Liquid Water Cloud Area Fraction,lcc,1,NA,time: mean,NA,0.0,1.0,proposed name: liquid_water_cloud_area_fraction
CF25_FAIL ice_cloud_area_fraction,Ice Cloud Area Fraction,icc,1,NA,time: mean,NA,0.0,1.0,proposed name: ice_cloud_area_fraction 
atmosphere_mass_content_of_cloud_liquid_water,Liquid Water Path,lwp,kg m-2,NA,time: mean,NA,0.0,100000.0,
atmosphere_mass_content_of_cloud_ice,Ice Water Path,clivi,kg m-2,NA,time: mean,NA,0.0,100000.0,
planetary_albedo,Planetary Albedo,albs,1,NA,time: mean,NA,0.0,1.0,
surface_albedo,Surface Albedo,albsrfc,1,NA,time: mean,NA,0.0,1.0,
atmosphere_optical_thickness_due_to_cloud,Cloud Optical Depth,cod,1,NA,time: mean,NA,0.0,100000.0,
CF25_FAIL number_concentration_of_ambient_aerosol_in_air_at_liquid_water_cloud_top,Cloud Condensation Nuclei Concentration at Liquid Cloud Top,ccn,m-3,NA,time: mean,NA,0.0,100000000.0,proposed name: number_concentration_of_ambient_aerosol_in_air_at_liquid_water_cloud_top
air_temperature_at_cloud_top,Air Temperature at Cloud Top,ttop,K,NA,time: mean,NA,0.0,500.0,
CF25_FAIL potential_temperature_difference_between_700hPa_and_1000hPa,Lower Tropospheric Stability,lts,K,NA,time: mean,NA,-1000.0,1000.0,proposed name: potential_temperature_difference_between_700hPa_and_1000hPa (Lower Tropospheric Stability)
toa_outgoing_shortwave_flux,TOA Outgoing Shortwave Radiation,rsut,W m-2,NA,time: mean,up,-0.1,10000.0,at the top of the atmosphere
toa_outgoing_shortwave_flux_assuming_clear_sky,TOA Outgoing Clear-Sky Shortwave Radiation,rsutcs,W m-2,NA,time: mean,up,-0.1,10000.0,
toa_outgoing_longwave_flux,TOA Outgoing Longwave Radiation,rlut,W m-2,NA,time: mean,up,-0.1,10000.0,at the top of the atmosphere (to be compared with satellite measurements)
toa_outgoing_longwave_flux_assuming_clear_sky,TOA Outgoing Clear-Sky Longwave Radiation,rlutcs,W m-2,NA,time: mean,up,-0.1,10000.0,
surface_downwelling_shortwave_flux_in_air,Surface Downwelling Shortwave Radiation,rsds,W m-2,NA,time: mean,down,-0.1,10000.0,
surface_upwelling_shortwave_flux_in_air,Surface Upwelling Shortwave Radiation,rsus,W m-2,NA,time: mean,up,-0.1,10000.0,
surface_downwelling_longwave_flux_in_air,Surface Downwelling Longwave Radiation,rlds,W m-2,NA,time: mean,down,-0.1,10000.0,
surface_upwelling_longwave_flux_in_air,Surface Upwelling Longwave Radiation,rlus,W m-2,NA,time: mean,up,-0.1,10000.0,
CF25_FAIL toa_instantaneous_shortwave_forcing_due_to_methane,All-Sky SW-RF CH4 at TOA,swtoaasch4,W m-2,NA,time: mean,NA,-1000.0,1000.0,proposed name: toa_instantaneous_shortwave_forcing_due_to_methane
CF25_FAIL toa_instantaneous_longwave_forcing_due_to_methane,All-Sky LS-RF CH4 at TOA,lwtoaasch4,W m-2,NA,time: mean,NA,-1000.0,1000.0,proposed name: toa_instantaneous_longwave_forcing_due_to_methane
CF25_FAIL toa_instantaneous_shortwave_forcing_due_to_nitrous_oxide,All-Sky SW-RF N2O at TOA,swtoaasn2o,W m-2,NA,time: mean,NA,-1000.0,1000.0,proposed name: toa_instantaneous_shortwave_forcing_due_to_nitrous_oxide
CF25_FAIL toa_instantaneous_longwave_forcing_due_to_nitrous_oxide,All-Sky LW-RF N2O at TOA,lwtoaasn2o,W m-2,NA,time: mean,NA,-1000.0,1000.0,proposed name: toa_instantaneous_longwave_forcing_due_to_nitrous_oxide
CF25_FAIL toa_instantaneous_shortwave_forcing_due_to_halocarbons,All-Sky SW-RF Halocarbons at TOA,swtoaashc,W m-2,NA,time: mean,NA,-1000.0,1000.0,CFCs/HCFCs/PFCs/HFCs/SF6. proposed name: toa_instantaneous_shortwave_forcing_due_to_halocarbons
CF25_FAIL toa_instantaneous_longwave_forcing_due_to_halocarbons,All-Sky LW-RF Halocarbons at TOA,lwtoaashc,W m-2,NA,time: mean,NA,-1000.0,1000.0,CFCs/HCFCs/PFCs/HFCs/SF6. proposed name: toa_instantaneous_shortwave_forcing_due_to_halocarbons
CF25_FAIL toa_instantaneous_shortwave_forcing_due_to_ozone,All-Sky SW-RF O3 at TOA,swtoaaso3,W m-2,NA,time: mean,NA,-1000.0,1000.0,proposed name: toa_instantaneous_shortwave_forcing_due_to_ozone
CF25_FAIL toa_instantaneous_longwave_forcing_due_to_ozone,All-Sky LW-RF O3 at TOA,lwtoaaso3,W m-2,NA,time: mean,NA,-1000.0,1000.0,proposed name: toa_instantaneous_longwave_forcing_due_to_ozone
CF25_FAIL tropopause_instantaneous_shortwave_forcing_due_to_ozone,All-Sky SW-RF O3 at Tropopause,swtropaso3,W m-2,NA,time: mean,NA,-1000.0,1000.0,proposed name: tropopause_instantaneous_shortwave_forcing_due_to_ozone
CF25_FAIL tropopause_instantaneous_longwave_forcing_due_to_ozone,All-Sky LW-RF O3 at Tropopause,lwtropaso3,W m-2,NA,time: mean,NA,-1000.0,1000.0,proposed name: tropopause_instantaneous_longwave_forcing_due_to_ozone
CF25_FAIL toa_instantaneous_shortwave_forcing_due_to_sulfate_ambient_aerosol,All-Sky SW-RF SO4 at TOA,swtoaasso4,W m-2,NA,time: mean,NA,-1000.0,1000.0,proposed name: toa_instantaneous_shortwave_forcing_due_to_sulfate_ambient_aerosol
CF25_FAIL toa_instantaneous_shortwave_forcing_due_to_black_carbon_ambient_aerosol_from_fossil_fuels,All-Sky SW-RF BCFF at TOA Anthropogenic,swtoaasbcff,W m-2,NA,time: mean,NA,-1000.0,1000.0,proposed name: toa_instantaneous_shortwave_forcing_due_to_black_carbon_ambient_aerosol_from_fossil_fuels
CF25_FAIL toa_instantaneous_shortwave_forcing_due_to_black_carbon_ambient_aerosol_from_fossil_fuels_assuming_clear_sky,Clear-Sky SW-RF BCFF at TOA,swtoacsbcff,W m-2,NA,time: mean,NA,-1000.0,1000.0,proposed name: toa_instantaneous_shortwave_forcing_due_to_black_carbon_ambient_aerosol_from_fossil_fuels_assuming_clear_sky
CF25_FAIL toa_instantaneous_shortwave_forcing_due_to_particulate_organic_matter_ambient_aerosol_from_fossil_fuels ,All-Sky SW-RF OAFF at TOA Anthropogenic,swtoaasoaff,W m-2,NA,time: mean,NA,-1000.0,1000.0,proposed name: toa_instantaneous_shortwave_forcing_due_to_particulate_organic_matter_ambient_aerosol_from_fossil_fuels
CF25_FAIL toa_instantaneous_shortwave_forcing_due_to_particulate_organic_matter_ambient_aerosol_from_fossil_fuels_assuming_clear_sky,Clear-Sky SW-RF OAFF at TOA Anthropogenic,swtoacsoaff,W m-2,NA,time: mean,NA,-1000.0,1000.0,proposed name: toa_instantaneous_shortwave_forcing_due_to_particulate_organic_matter_ambient_aerosol_from_fossil_fuels_assuming_clear_sky
CF25_FAIL toa_instantaneous_shortwave_forcing_due_to_biomass_burning_ambient_aerosol,All-Sky SW-RF BB at TOA,swtoaasbb,W m-2,NA,time: mean,NA,-1000.0,1000.0,proposed name: toa_instantaneous_shortwave_forcing_due_to_biomass_burning_ambient_aerosol
CF25_FAIL toa_instantaneous_shortwave_forcing_due_to_biomass_burning_ambient_aerosol_assuming_clear_sky,Clear-Sky SW-RF BB at TOA,swtoacsbb,W m-2,NA,time: mean,NA,-1000.0,1000.0,proposed name: toa_instantaneous_shortwave_forcing_due_to_biomass_burning_ambient_aerosol_assuming_clear_sky
CF25_FAIL toa_instantaneous_shortwave_forcing_due_to_secondary_particulate_organic_matter_ambient_aerosol,All-Sky SW-RF SOA at TOA,swtoaassoa,W m-2,NA,time: mean,NA,-1000.0,1000.0,proposed name: toa_instantaneous_shortwave_forcing_due_to_secondary_particulate_organic_matter_ambient_aerosol
CF25_FAIL toa_instantaneous_shortwave_forcing_due_to_nitrate_ambient_aerosol,All-Sky SW-RF NO3 at TOA,swtoaasno3,W m-2,NA,time: mean,NA,-1000.0,1000.0,proposed name: toa_instantaneous_shortwave_forcing_due_to_nitrate_ambient_aerosol
CF25_FAIL toa_instantaneous_shortwave_forcing_due_to_seasalt_ambient_aerosol,All-Sky SW-RF SS at TOA,swtoaasss,W m-2,NA,time: mean,NA,-1000.0,1000.0,proposed name: toa_instantaneous_shortwave_forcing_due_to_seasalt_ambient_aerosol
CF25_FAIL toa_instantaneous_shortwave_forcing_due_to_dust_ambient_aerosol,All-Sky SW-RF Dust at TOA,swtoaasdust,W m-2,NA,time: mean,NA,-1000.0,1000.0,proposed name: toa_instantaneous_shortwave_forcing_due_to_dust_ambient_aerosol
CF25_FAIL toa_instantaneous_longwave_forcing_due_to_dust_ambient_aerosol,All-Sky LW-RF Dust at TOA,lwtoaasdust,W m-2,NA,time: mean,NA,-1000.0,1000.0,proposed name: toa_instantaneous_longwave_forcing_due_to_dust_ambient_aerosol
CF25_FAIL toa_instantaneous_shortwave_forcing_due_to_dust_ambient_aerosol_assuming_clear_sky,Clear-Sky SW-RF Dust at TOA,swtoacsdust,W m-2,NA,time: mean,NA,-1000.0,1000.0,proposed name: toa_instantaneous_shortwave_forcing_due_to_dust_ambient_aerosol_assuming_clear_sky
CF25_FAIL toa_instantaneous_shortwave_forcing_due_to_ambient_aerosol,All-Sky SW-RF Aerosols at TOA,swtoaasaer,W m-2,NA,time: mean,NA,-1000.0,1000.0,proposed name: toa_instantaneous_shortwave_forcing_due_to_ambient_aerosol
CF25_FAIL toa_instantaneous_shortwave_forcing_due_to_ambient_aerosol_assuming_clear_sky,Clear-Sky SW-RF Aerosols at TOA,swtoacsaer,W m-2,NA,time: mean,NA,-1000.0,1000.0,proposed name: toa_instantaneous_shortwave_forcing_due_to_ambient_aerosol_assuming_clear_sky
CF25_FAIL toa_instantaneous_longwave_forcing_due_to_ambient_aerosol,All-Sky LW-RF Aerosols at TOA,lwtoaasaer,W m-2,NA,time: mean,NA,-1000.0,1000.0,proposed name: toa_instantaneous_longwave_forcing_due_to_ambient_aerosol
CF25_FAIL toa_instantaneous_longwave_forcing_due_to_ambient_aerosol_assuming_clear_sky,Clear-Sky LW-RF Aerosols at TOA,lwtoacsaer,W m-2,NA,time: mean,NA,-1000.0,1000.0,proposed name: toa_instantaneous_longwave_forcing_due_to_ambient_aerosol_assuming_clear_sky
tendency_of_atmosphere_mass_content_of_nox_expressed_as_nitrogen_due_to_emission,Total Emission Rate of NOx,eminox,kg m-2 s-1,NA,time: mean,up,0.0,1000000.0,NOx=NO+NO2. Integrate 3D emission field vertically to 2d field.
CF25_FAIL tendency_of_atmosphere_mass_content_of_anthropogenic_nox_expressed_as_nitrogen_due_to_emission,Anthropogenic Emission Rate of NOx,emianox,kg m-2 s-1,NA,time: mean,up,0.0,1000000.0,"NOx=NO+NO2, Includes agricultural waste burning but no other biomass burning. proposed name: tendency_of_atmosphere_mass_content_of_anthropogenic_nox_expressed_as_nitrogen_due_to_emission. Integrate 3D emission field vertically to 2d field."
tendency_of_atmosphere_mass_content_of_nitric_acid_due_to_dry_deposition,Dry Deposition Rate of HNO3,dryhno3,kg m-2 s-1,NA,time: mean,down,0.0,1000000.0,"dry deposition includes gravitational settling, impact scavenging, and turbulent deposition."
tendency_of_atmosphere_mass_content_of_nitrogen_dioxide_due_to_dry_deposition,Dry Deposition Rate of NO2,dryno2,kg m-2 s-1,NA,time: mean,down,0.0,1000000.0,"dry deposition includes gravitational settling, impact scavenging, and turbulent deposition."
CF25_FAIL tendency_of_atmosphere_mass_content_of_all_nitrogen_oxides_due_to_dry_deposition.   ,Dry Deposition Rate of NOy,drynoy,kg m-2 s-1,NA,time: mean,down,0.0,1000000.0,"NOy is the sum of all simulated oxidized nitrogen species out of NO, NO2, HNO3, HNO4, NO3aerosol, NO3(radical), N2O5, PAN, other organic nitrates. Dry deposition includes gravitational settling, impact scavenging, and turbulent deposition."
tendency_of_atmosphere_mass_content_of_nitric_acid_due_to_wet_deposition,Wet Deposition Rate of HNO3,wethno3,kg m-2 s-1,NA,time: mean,down,0.0,1000000.0,
CF25_FAIL tendency_of_atmosphere_mass_content_of_all_nitrogen_oxides_due_to_wet_deposition,Wet Deposition of NOy incl aerosol nitrate,wetnoy,kg m-2 s-1,NA,time: mean,down,0.0,1000000.0,"proposed name: tendency_of_atmosphere_mass_content_of_all_nitrogen_oxides_due_to_wet_deposition. NOy is the sum of all simulated oxidized nitrogen species, out of NO, NO2, HNO3, HNO4, NO3aerosol, NO3(radical), N2O5, PAN, other organic nitrates."
CF25_FAIL lightning_flash_rate,Lightning Flash Rate,flashrate,km-2 s-1,NA,time: mean,NA,0.0,1000000.0,"proposed name: lightning_flash_rate (units to be interpreted as ""counts km-2 s-1)"
CF25_FAIL tendency_of_troposphere_mass_content_of_ozone_due_to_chemistry,Net Chemistry Tendency of O3 in the Troposphere,tpo3chm,kg m-2 s-1,NA,time: mean,NA,-1000000.0,1000000.0,"The tropopause follows the WMO definition. The tendency has to be calculated online for all the grid boxes below the tropopause (including the boxes containing the tropopause), as tropopause fluctuates rapidly.  Integrate 3D tendency field vertically to 2d field for every time step, then do the monthly average."
CF25_FAIL tendency_of_lower_stratosphere_mass_content_of_ozone_due_to_chemistry,Net Chemistry Tendency of O3 in the Lower-Most Stratosphere,lso3chm,kg m-2 s-1,NA,time: mean,NA,-1000000.0,1000000.0,"The tropopause follows the WMO definition. The tendency has to be calculated online for all the grid boxes above the tropopause (excluding the boxes containing the tropopause) and below 100 hPa, as tropopause fluctuates rapidly.  Integrate 3D tendency field vertically to 2d field for every time step, then do the monthly average."
CF25_FAIL tendency_of_atmosphere_mass_content_of_particulate_organic_matter_dry_aerosol_expressed_as_carbon_due_to_emission,Total Emission of POM,emipom,kg m-2 s-1,NA,time: mean,up,0.0,1000000.0,Integrate 3D emission field vertically to 2d field. we recommend a scale factor of POM=1.4*OC; unless your model has more detailed info available
tendency_of_atmosphere_mass_content_of_hexachlorobiphenyl_due_to_emission,Total Emission of PCB-153,emipcb153,kg m-2 s-1,NA,time: mean,up,0.0,1000000.0,integrate 3D emission field vertically to 2d field
tendency_of_atmosphere_mass_content_of_alpha_hexachlorocyclohexane_due_to_emission,Total Emission of a-HCH,emiahch,kg m-2 s-1,NA,time: mean,up,0.0,1000000.0,integrate 3D emission field vertically to 2d field
tendency_of_atmosphere_mass_content_of_hexachlorobiphenyl_due_to_re_emission,Total Re-Emission of PCB-153,reemipcb153,kg m-2 s-1,NA,time: mean,up,0.0,1000000.0,integrate 3D emission field vertically to 2d field
tendency_of_atmosphere_mass_content_of_alpha_hexachlorocyclohexane_due_to_re_emission,Total Re-Emission of a-HCH,reemiahch,kg m-2 s-1,NA,time: mean,up,0.0,1000000.0,integrate 3D emission field vertically to 2d field
CF25_FAIL tendency_of_atmosphere_mass_content_of_anthropogenic_particulate_organic_matter_as_dry_aerosol_due_to_emission,Total Emission of Anthropogenic POM,emiapom,kg m-2 s-1,NA,time: mean,up,0.0,1000000.0,Integrate 3D emission field vertically to 2d field. we recommend a scale factor of POM=1.4*OC; unless your model has more detailed info available
CF25_FAIL tendency_of_atmosphere_mass_content_of_anthropogenic_secondary_particulate_organic_matter_as_dry_aerosol_due_to_emission,Total Emission of Anthropogenic SOA,emiasoa,kg m-2 s-1,NA,time: mean,up,0.0,1000000.0,"integrate 3D emission field vertically to 2d field. This can be a pseudo-emission flux as used in AEROCOM (Dentener et al, ACP, 2006) or the net production of SOA in the atmosphere resulting from the oxidation of terpenes"
tendency_of_atmosphere_mass_content_of_isoprene_due_to_emission,Total Emission Rate of Isoprene,emiisop,kg (C) m-2 s-1,NA,time: mean,up,0.0,1000000.0,Integrate 3D emission field vertically to 2d field
CF25_FAIL vegetation_area_fraction_by_specified_category,Vegetation Distribution,vgd,%,vgidx,time: mean,NA,0.0,101.0,Lump your vegetation scheme into 9 categories: 1) tropf 2) decid 3) conif 4) crops 5) grass 6) tundra 7) desert 8) snow/ice 9) water.  Does not need to add to 100% due to bare soil. 
leaf_area_index,Leaf Area Index,lai,1,NA,time: mean,NA,0.0,100.0,
canopy_height,Canopy Height,cnpz,m,NA,time: mean,NA,0.0,500.0,
CF25_FAIL stomatal_conductance_of_water_vapour_per_unit_leaf_area,Stomatal Conductance of Water Vapour,gsto,mmol m-2 s-1,NA,time: mean,NA,0.0,1000000.0,(m2 is the projected leaf area)  Full units are mmol H2O/m^2 leaf area/sec.
mole_fraction_of_ozone_in_air,Ozone Volume Mixing Ratio at Canopy Height,vmro3cnp,mole mole-1,NA,time: mean,NA,0.0,1.0,
surface_snow_area_fraction,Snow Area Fraction,snc,%,NA,time: mean,NA,0.0,101.0,
CF25_FAIL downward_mass_flux_ozone_at_tropopause,STE O3 Flux,o3steflx,kg m-2 s-1,NA,time: mean,down,0.0,1000000.0,"estimated strat-trop flux of ozone, i.e., the reset tendency of o3ste to o3 in the lowermost layers. See tracer o3ste on the monthly-mean 3d sheet for details."
